learning_rate,trees_per_update,initial_mae,final_mae,vs_baseline,improvement,volatility
0.01,25,7.8359,6.9773,-0.8586,0.8586,0.7414
0.003,150,7.8359,6.9849,-0.851,0.851,0.767
0.003,100,7.8359,7.0017,-0.8342,0.8342,0.7176
0.02,25,7.8359,7.0041,-0.8318,0.8318,0.7518
0.005,100,7.8359,7.0193,-0.8165,0.8165,0.7562
0.005,50,7.8359,7.0233,-0.8126,0.8126,0.7012
0.005,150,7.8359,7.0303,-0.8056,0.8056,0.7331
0.001,200,7.8359,7.0322,-0.8037,0.8037,0.7007
0.003,200,7.8359,7.0469,-0.7889,0.7889,0.7423
0.01,50,7.8359,7.0525,-0.7834,0.7834,0.7285
0.02,50,7.8359,7.0622,-0.7737,0.7737,0.6461
0.001,150,7.8359,7.0625,-0.7733,0.7733,0.6881
0.003,50,7.8359,7.0794,-0.7564,0.7564,0.6652
0.005,25,7.8359,7.0996,-0.7363,0.7363,0.66
0.005,200,7.8359,7.1166,-0.7193,0.7193,0.6376
0.01,100,7.8359,7.155,-0.6809,0.6809,0.6708
0.001,100,7.8359,7.1727,-0.6632,0.6632,0.6035
0.01,150,7.8359,7.205,-0.6308,0.6308,0.5439
0.003,25,7.8359,7.2477,-0.5882,0.5882,0.5393
0.01,200,7.8359,7.3534,-0.4825,0.4825,0.5486
0.001,50,7.8359,7.3772,-0.4587,0.4587,0.4262
0.02,100,7.8359,7.4207,-0.4152,0.4152,0.5836
0.001,25,7.8359,7.5626,-0.2733,0.2733,0.2559
0.02,150,7.8359,7.6277,-0.2082,0.2082,0.7856
0.02,200,7.8359,7.7393,-0.0965,0.0965,1.219
