ActivityCode,UserID,WorkCode,AssignmentID,ProductID,Quantity,LocationID
PickPut,498,20,8039011,1.0,1.0,5621535.0
PickPut,498,20,8039012,1.0,1.0,5621535.0
PickPut,498,20,8039013,1.0,1.0,5621535.0
PickPut,498,20,8039014,722.0,1.0,5992085.0
PickPut,498,20,8039015,1423.0,1.0,5271660.0
PickPut,498,20,8039016,1423.0,1.0,5271660.0
PickPut,498,20,8039069,1284.0,1.0,5280593.0
PickPut,498,20,8039070,1284.0,1.0,5280593.0
PickPut,498,20,8039071,29028.0,1.0,3876357.0
PickPut,498,20,8039072,1140.0,1.0,3875490.0
PickPut,498,20,8039073,1140.0,1.0,3875490.0
PickPut,498,20,8039048,5107.0,1.0,4011624.0
PickPut,498,20,8039023,30010.0,1.0,3937624.0
PickPut,498,20,8039024,30010.0,1.0,3937624.0
PickPut,498,20,8039025,30010.0,1.0,3937624.0
PickPut,498,20,8039026,30010.0,1.0,3937624.0
PickPut,498,20,8039027,30010.0,1.0,3937624.0
PickPut,498,20,8039028,30010.0,1.0,3937624.0
PickPut,498,20,8039029,30010.0,1.0,3937624.0
PickPut,498,20,8039030,30010.0,1.0,3937624.0
PickPut,498,20,8039031,30010.0,1.0,3937624.0
PickPut,498,20,8039032,30010.0,1.0,3937624.0
PickPut,498,20,8039033,30010.0,1.0,3937624.0
PickPut,498,20,8039034,30010.0,1.0,3937624.0
PickPut,498,20,8039035,30010.0,1.0,3937624.0
PickPut,498,20,8039036,30010.0,1.0,3937624.0
PickPut,498,20,8039037,30010.0,1.0,3937624.0
PickPut,498,20,8039038,30010.0,1.0,3937624.0
PickPut,498,20,8039039,30010.0,1.0,3937624.0
PickPut,498,20,8039040,30010.0,1.0,3937624.0
PickPut,498,20,8039041,30010.0,1.0,3937624.0
PickPut,498,20,8039042,30010.0,1.0,3937624.0
PickPut,498,20,8039043,30010.0,1.0,3937624.0
PickPut,498,20,8039044,30010.0,1.0,3937624.0
PickPut,498,20,8039045,30010.0,1.0,3937624.0
PickPut,498,20,8039046,30010.0,1.0,3937624.0
PickPut,498,20,8039047,30010.0,1.0,3937624.0
PickPut,498,20,8039017,47044.0,1.0,5369707.0
PickPut,498,20,8039018,47044.0,1.0,5369707.0
PickPut,498,20,8039019,47044.0,1.0,5369707.0
PickPut,498,20,8039020,47044.0,1.0,5369707.0
PickPut,498,20,8039021,47044.0,1.0,5369707.0
PickPut,498,20,8039022,47044.0,1.0,5369707.0
PickPut,498,20,8038934,5418.0,1.0,5385436.0
PickPut,498,20,8038935,29563.0,1.0,3960055.0
PickPut,498,20,8038936,29563.0,1.0,3960055.0
PickPut,498,20,8038937,29563.0,1.0,3960055.0
PickPut,498,20,8038947,3861.0,1.0,5431510.0
PickPut,498,20,8038948,3861.0,1.0,5431510.0
PickPut,498,20,8038949,3861.0,1.0,5431510.0
