Warehouse,WorkCode,n_blocks,r2,mae,rmse
OE,10,6,-1.0735898263237287,1086.4442708333333,1177.5683919061569
OE,20,55,0.5526650481437885,346.02644454012784,427.05360961906376
OE,30,123,0.2596015058864469,365.59371728118657,465.5724912355652
