Warehouse,WorkCode,n_blocks,r2,mae,rmse
OE,10,6,-0.36575347305802763,771.935400390625,955.6764187952899
OE,20,55,0.2588955209033139,438.4348069691052,549.6746389810203
OE,30,123,0.6623168783809283,258.95848674098073,314.41932084553076
